title,doi,url,publicationDate,staffNames,staffIds,orcidIds
Oral Contraceptive Pill Alters Acute Dietary Protein-Induced Thermogenesis in Young Women.,10.1002/oby.21919,http://europepmc.org/abstract/med/28712125,2017-07-16,Jennifer Miles-Chan,1,0000-0003-0313-7048
Do gender and ethnic differences in fasting leptin in Indians and Creoles of Mauritius persist beyond differences in adiposity?,10.1038/ijo.2017.213,http://europepmc.org/abstract/med/28852206,2017-08-30,Jennifer Miles-Chan,1,0000-0003-0313-7048
Reliability of low-power cycling efficiency in energy expenditure phenotyping of inactive men and women.,10.14814/phy2.13233,http://europepmc.org/abstract/med/28507164,2017-05-14,Jennifer Miles-Chan,1,0000-0003-0313-7048
Standing economy: does the heterogeneity in the energy cost of posture maintenance reside in differential patterns of spontaneous weight-shifting?,10.1007/s00421-017-3563-7,http://europepmc.org/abstract/med/28260201,2017-03-04,Jennifer Miles-Chan,1,0000-0003-0313-7048
Passive and active roles of fat-free mass in the control of energy intake and body composition regulation.,10.1038/ejcn.2016.256,http://europepmc.org/abstract/med/27966570,2016-12-14,Jennifer Miles-Chan,1,0000-0003-0313-7048
Isometric thermogenesis at rest and during movement: a neglected variable in energy expenditure and obesity predisposition.,10.1111/obr.12505,http://europepmc.org/abstract/med/28164457,2017-02-06,Jennifer Miles-Chan,1,0000-0003-0313-7048
"Nutrition, movement and sleep behaviours: their interactions in pathways to obesity and cardiometabolic diseases.",10.1111/obr.12513,http://europepmc.org/abstract/med/28164454,2017-02-06,Jennifer Miles-Chan,1,0000-0003-0313-7048
Energy Cost of Standing in a Multi-Ethnic Cohort: Are Energy-Savers a Minority or the Majority?,10.1371/journal.pone.0169478,,2017-01-05,Jennifer Miles-Chan,1,0000-0003-0313-7048
Issues in Continuous 24-h Core Body Temperature Monitoring in Humans Using an Ingestible Capsule Telemetric Sensor.,10.3389/fendo.2017.00130,http://europepmc.org/abstract/med/28659868,2017-06-13,Jennifer Miles-Chan,1,0000-0003-0313-7048
Posture Allocation Revisited: Breaking the Sedentary Threshold of Energy Expenditure for Obesity Management.,10.3389/fphys.2017.00420,http://europepmc.org/abstract/med/28690547,2017-06-22,Jennifer Miles-Chan,1,0000-0003-0313-7048
Body composition-derived BMI cut-offs for overweight and obesity in Indians and Creoles of Mauritius: comparison with Caucasians.,10.1038/ijo.2016.176,http://europepmc.org/abstract/med/27698347,2016-10-04,Jennifer Miles-Chan,1,0000-0003-0313-7048
Correction: Energy Expenditure and Substrate Oxidation in Response to Side-Alternating Whole Body Vibration across Three Commonly-Used Vibration Frequencies,10.1371/journal.pone.0163822,,2016-09-22,Jennifer Miles-Chan,1,0000-0003-0313-7048
Energy Drinks and Their Impact on the Cardiovascular System: Potential Mechanisms.,10.3945/an.116.012526,http://europepmc.org/abstract/med/27633110,2016-09,Jennifer Miles-Chan,1,0000-0003-0313-7048
Hemodynamic Responses to Energy Drink Consumption,10.1001/jama.2016.1109,,2016-05-10,Jennifer Miles-Chan,1,0000-0003-0313-7048
Gender difference in substrate oxidation during low-intensity isometric exercise in young adults.,10.1139/apnm-2016-0127,,2016-09,Jennifer Miles-Chan,1,0000-0003-0313-7048
